County,School Type,School District or Name,MMR Vaccination Rate,Age Group,metric,school size 10,school size 25,school size 100,school size 250,school size 500,school size 750,school size 1000,school size 1500,school size 2500,school size 5000,average_school_size,metric_average_school_size
smith,Private School,All Saints Episcopal School Tyler,88,Kindergarten,total_infected_mean,1.6125,1.91,4.99,10.3125,19.5515,30.3355,39.626,56.927,97.4585,195.277,,19.5515
brazos,Private School,Allen Academy,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
brazos,Private School,Allen Academy,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
walker,Private School,Alpha Omega Academy,87.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0.314,0.49,0.4885,0.5165,0.5065,0.525,0.509,0.518,,0.4885
walker,Private School,Alpha Omega Academy,87.1,Kindergarten,total_infected_mean,1.619,2.5695,5.6745,13.395,24.082,37.7025,48.8575,76.9035,124.845,252.125,,24.082
travis,Private School,Alpha School,80,Kindergarten,probability_exceeding_10_total_cases,0,0,0.644,0.67,0.68,0.681,0.686,0.6915,0.697,0.7005,,0.68
travis,Private School,Alpha School,80,Kindergarten,total_infected_mean,1.6095,3.3515,12.539,31.559,63.813,96.0335,128.7475,195.295,328.0235,659.184,,63.813
brewster,Private School,Alpine Christian School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
brewster,Private School,Alpine Christian School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
tom green,Private School,Angelo Catholic School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
tom green,Private School,Angelo Catholic School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
nueces,Private School,Annapolis Christian Academy,82.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0.5875,0.6005,0.6315,0.6435,0.621,0.6255,0.635,0.6505,,0.6315
nueces,Private School,Annapolis Christian Academy,82.8,Kindergarten,total_infected_mean,1.6315,3.3985,10.3685,23.214,48.942,74.436,96.258,145.054,245.6675,502.638,,48.942
harris,Private School,Annunciation Orthodox School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
harris,Private School,Annunciation Orthodox School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
galveston,Private School,Arcadia First Baptist Christian School,86.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.397,0.509,0.514,0.535,0.5185,0.5245,0.531,0.5205,,0.514
galveston,Private School,Arcadia First Baptist Christian School,86.7,Kindergarten,total_infected_mean,1.583,2.558,6.64,14.2995,26.4835,41.6395,52.6255,81.5185,136.847,266.9675,,26.4835
harris,Private School,Ascension Episcopal School Houston,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
harris,Private School,Ascension Episcopal School Houston,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
travis,Private School,Ascent: An Acton Academy,83.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0.5495,0.585,0.624,0.636,0.6335,0.6185,0.6315,0.6225,,0.624
travis,Private School,Ascent: An Acton Academy,83.3,Kindergarten,total_infected_mean,1.621,3.3305,9.3105,21.8545,46.6405,71.1955,93.742,139.0745,234.7905,463.0785,,46.6405
harris,Private School,Assumption Catholic School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
harris,Private School,Assumption Catholic School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
henderson,Private School,Athens Christian Preparatory Academy,60,Kindergarten,probability_exceeding_10_total_cases,0,0.756,0.8635,0.853,0.854,0.8625,0.858,0.859,0.859,0.8575,,0.854
