County,NAME
ECTOR,KIDDIE KOLLEGE PRESCHOOL
DALLAS,KIDS DISCOVERY ACADEMY INC.
CHEROKEE,KIDS FIRST CHRISTIAN ACADEMY
COLLIN,KIDS LEARNING CENTER
HIDALGO,KIDS LEARNING CENTER
FORT BEND,KIDS R KIDS #12 TX
FORT BEND,KIDS R KIDS #46 TX
DENTON,KIDS R KIDS #58
FORT BEND,KIDS R KIDS NO. 25 SUGARLAND
BEXAR,KIDS R KIDS NO. 57 LIBERTY FIELD
FORT BEND,KIDS R KIDS SUGAR LAND #25 TX
HIDALGO,KIDS VILLAGE MONTESSORI LRNNG
BELL,KILLEEN ADVENTIST JUNIOR ACADEMY
DENTON,KING ARTHUR MONTESSORI ACADEMY
HARRIS,KING'S ACADEMY
SMITH,KING'S ACADEMY CHRISTIAN SCHOOL
DALLAS,KINGDOM COLLEGIATE ACADEMIES
COLLIN,KINGDOM COUNTRY ACADEMY
LUBBOCK,KINGDOM PREPARATORY ACADEMY
HARRIS,KINGWOOD MONTESSORI SCHOOL
DALLAS,KINWEST MONTESSORI ACADEMY
TRAVIS,KIRBY HALL SCHOOL
HARRIS,KLEIN WEEKDAY MINISTRIES
FORT BEND,KNILE CENTER LLC
DENTON,KNOWLEDGE SEEKERS CHRISTIAN SCHOOL
DENTON,KOAN SCHOOL
HARRIS,LA MATERNELLE FRENCH ACADEMY
SMITH,LAEL CHRISTIAN ACADEMY
CAMERON,LAGUNA MADRE CHRISTIAN ACADEMY
MONTGOMERY,LAKE CONROE CHRISTIAN ACADEMY
TARRANT,LAKE COUNTRY CHRISTIAN SCHOOL
HOOD,LAKE GRANBURY MONTESSORI ACADEMY
WILLIAMSON,LAKE TRAVIS STEM ACADEMY
DALLAS,LAKEHILL PREPARATORY SCHOOL
DENTON,LAKELAND CHRISTIAN ACADEMY
LUBBOCK,LAKERIDGE LITTLERIDGE PRESCHOOL
DENTON,LAKESIDE MONTESSORI ACADEMY LLC
FORT BEND,LAKEVIEW MONTESSORI ON THE HILL
DALLAS,LAKEWOOD MONTESSORI SCHOOL
HARRIS,LAKEWOOD MONTESSORI SCHOOL
HIDALGO,LAVALETTE INTERNATIONAL MONTESSORI INSTITUTE LLC
BEXAR,LEAF SPRING SCHOOL AT SONTERRA
COMAL,LEARNING THEIR WAY
LUBBOCK,LEARNING TREE CHILDRENS ACADEMY
DENTON,LEGACY CHRISTIAN ACADEMY
TARRANT,LEGACY CLASSICAL CHRISTIAN ACADEMY
BEXAR,LEON VALLEY CHRISTIAN ACADEMY
HOCKLEY,LEVELLAND CHRISTIAN SCHOOL
DENTON,LEWISVILLE CHRISTIAN SCHOOL
DENTON,LIBERTY CHRISTIAN SCHOOL
EL PASO,LIFE CENTER CHRISTIAN ACADEMY
HARRIS,LIFE LUTHERAN SCHOOL
GUADALUPE,LIFEGATE CHRISTIAN SCHOOL
MONTGOMERY,LIFESTYLE CHRISTIAN SCHOOL
BEXAR,LITTLE LIONS LEARNING ACADEMY
HARRIS,LITTLE WONDERS OF BAYBROOK BAPTIST
MCLENNAN,LIVE OAK CLASSICAL SCHOOL
COMAL,LIVING ROCK ACADEMY
BRAZORIA,LIVING STONES CHRISTIAN SCHOOL
FORT BEND,LIVING WATER CHRISTIAN SCHOOL
POLK,LIVINGSTON MONTESSORI SCHOOL
LLANO,LLANO CHRISTIAN ACADEMY
CALDWELL,LOCKHART MONTESSORI SCHOOL
FORT BEND,LOGOS PREPARATORY SCHOOL
TRAVIS,LONG-VIEW MICRO SCHOOL
GREGG,LONGVIEW CHRISTIAN ACADEMY
GREGG,LONGVIEW CHRISTIAN SCHOOL
EL PASO,LORETTO ACADEMY
TRAVIS,LOS AMIGUITOS
LUBBOCK,LUBBOCK CHRISTIAN SCHOOL
COLLIN,LUCAS CHRISTIAN ACADEMY
TRAVIS,LUPINE LANE
HARRIS,LUTHERAN HIGH NORTH
BEXAR,LUTHERAN HIGH SCHOOL OF SAN ANTONIO
HARRIS,LYCEE INTERNATIONAL DE HOUSTON
EL PASO,LYDIA PATTERSON INSTITUTE
HARRIS,M.O.M. EARLY CHILDHOOD CHRISTIAN ACADEMY
BEXAR,MAC ARTHUR PARK LUTHERAN SCHOOL
HIDALGO,MACEDONIAN CHRISTIAN ACADEMY
HARRIS,MARIAN HIGH SCHOOL (NTI CAREER INSTITUTE)
ROCKWALL,MARIGOLD LEARNING ACADEMY
TRAVIS,MARIMONT MONTESSORI SCHOOL INC
CAMERON,MARINE MILITARY ACADEMY
HARRIS,MARINER MONTESSORI
TRAVIS,MARIPOSA MONTESSORI SCHOOL
HARRISON,MARSHALL CHRISTIAN ACADEMY
BEXAR,MARVELOUSLY MADE - THE SCHOOL FOR YOUNG CHILDREN
WEBB,MARY HELP OF CHRISTIANS SCHOOL
DALLAS,MARY IMMACULATE CATHOLIC SCHOOL
NUECES,MASTERPIECE BILINGUAL ACADEMY
DALLAS,MEADOWBROOK SCHOOL
HARRIS,MELINDA WEBB SCHOOL
BELL,MEMORIAL CHRISTIAN ACADEMY
HARRIS,MEMORIAL HALL SCHOOL
HARRIS,MEMORIAL LUTHERAN SCHOOL
FORT BEND,MEMORIAL MONTESSORI SCHOOL
GAINES,MENNONITE SCHOOL WESTSIDE
TARRANT,MERRYHILL SCHOOL
DALLAS,MESORAH HIGH SCHOOL FOR GIRLS
DALLAS,MESQUITE BAPTIST ACADEMY
TARRANT,MESSIAH LUTHERAN CLASSICAL ACADEMY
COLLIN,MESSIAH LUTHERAN LAMBS EARLY CHILDHOOD SCHOOL
BEXAR,MESSIAHS KIDS PRESCHOOL
BRAZORIA,METHODIST CHILDRENS PROGRAM
MONTGOMERY,METHODIST DAY SCHOOL
VICTORIA,METHODIST DAY SCHOOL
HIDALGO,MID VALLEY CHRISTIAN SCHOOL
TARRANT,MIDCITIES MONTESSORI
MIDLAND,MIDLAND CHRISTIAN SCHOOL
MIDLAND,MIDLAND MONTESSORI SCHOOL
HARRIS,MIRUS ACADEMY
TARRANT,MISS ENDY'S CHRISTIAN ACADEMY
HARRIS,MOLO BILINGUAL MONTESSORI SCHOOL
DALLAS,MOMENTOUS SCHOOL
DALLAS,MONA MONTESSORI ACADEMY
JEFFERSON,MONSIGNOR KELLY CATHOLIC SCHOOL
GRAYSON,MONTESSORI ACADEMY OF NORTH TEXAS
TARRANT,MONTESSORI AT THE COURTYARD
BEXAR,MONTESSORI CHILDREN'S HOUSE
DALLAS,MONTESSORI CHILDREN'S HOUSE & SCHOOL
DENTON,MONTESSORI COUNTRY DAY SCHOOL
DENTON,MONTESSORI EPISCOPAL SCHOOL
FORT BEND,MONTESSORI HOUSE FOR CHILDREN
EL PASO,MONTESSORI LEARNING CENTER
HARRIS,MONTESSORI LEARNING COTTAGE
HARRIS,MONTESSORI LEARNING INSTITUTE
ECTOR,MONTESSORI MASTERY SCHOOL OF ODESSA
HARRIS,MONTESSORI PRESCHOOL AT COPPERFIELD
CAMERON,MONTESSORI SCHOOL
BEXAR,MONTESSORI SCHOOL INTERNATIONAL
BRAZORIA,MONTESSORI SCHOOL OF DOWNTOWN
HARRIS,MONTESSORI SCHOOL OF DOWNTOWN
BRAZORIA,MONTESSORI SCHOOL OF DOWNTOWN SILVERLAKE
TARRANT,MONTESSORI SCHOOL OF FORT WORTH
FORT BEND,MONTESSORI SCHOOL OF SUGAR LAND SIENNA
TARRANT,MONTESSORI SCHOOL ON CAMP BOWIE
BELL,MONTESSORI SCHOOLS OF CENTRAL TEXAS(TEMPLE CAMPUS)
MONTGOMERY,MONTESSORI VILLA-THE WOODLANDS
HARRIS,MONTESSORI-LONGWOOD
MONTGOMERY,MONTGOMERY CHRISTIAN ACADEMY
FANNIN,MORNING STAR ACADEMY
TARRANT,MOSAIC ACADEMY
EL PASO,MOST HOLY TRINITY SCHOOL
NUECES,MOST PRECIOUS BLOOD CATHOLIC SCHOOL
DALLAS,MOUNT HEBRON CHRISTIAN ACADEMY
BEXAR,MOUNT SACRED HEART SCHOOL
DALLAS,MOUNT ST MICHAEL CATHOLIC SCHOOL
EL PASO,MOUNTAIN WEST MONTESSORI
LUBBOCK,MRS. OS AT AGAPE
TITUS,MT PLEASANT CHRISTIAN SCHOOL
WEBB,MUNDO MONTESSORI
TARRANT,MY DREAMS ACADEMY
TARRANT,NAZARENE CHRISTIAN ACADEMY
HOWARD,NAZARENE CHRISTIAN ACADEMY BIG SPRING
VICTORIA,NAZARETH ACADEMY CATHOLIC SCHOOL
COMAL,NEW BRAUNFELS CHRISTIAN ACADEMY
DALLAS,NEW CENTURY MONTESSORI ACADEMY
COLLIN,NEW HOPE CHRISTIAN ACADEMY
DALLAS,NEW LIFE CHRISTIAN ACADEMY
BEXAR,NEW LIFE CHRISTIAN ACADEMY HYBRID
EL PASO,NEW LIFE CHRISTIAN ACADEMY OF EL PASO INC.
GREGG,NEW LIFE CHRISTIAN SCHOOL
FORT BEND,NEW TERRITORY MONTESSORI SCHOOL
DALLAS,NEW WORLD UNITED METHODIST DCC
BEXAR,NOBIS PACEM
TARRANT,NOLAN CATHOLIC HIGH SCHOOL
SOMERVELL,NORTH CENTRAL TEXAS ACADEMY
COLLIN,NORTH DALLAS ADVENTIST ACADEMY
TARRANT,NORTH PARK CHRISTIAN ACADEMY
EL PASO,NORTHEAST CHRISTIAN ACADEMY
VICTORIA,NORTHSIDE BAPTIST SCHOOL
PANOLA,NORTHSIDE CHRISTIAN ACADEMY
TARRANT,NORTHSTAR SCHOOL
BEXAR,NORTHWEST HILLS CHRISTIAN SCHOOL
TRAVIS,"NORTHWEST MONTESSORI HOUSE, INC"
HARRIS,NORTHWOOD MONTESSORI SCHOOL
KERR,NOTRE DAME CATHOLIC SCHOOL
DALLAS,NOTRE DAME SCHOOL
GALVESTON,O'CONNELL COLLEGE PREPARATORY SCHOOL
COLLIN,OAK BROOK SCHOOL ALLEN
DALLAS,OAK CREST PRIVATE SCHOOL
HARRIS,OAK FOREST ACADEMY LLC
GREGG,OAK FOREST MONTESSORI SCHOOL
DALLAS,OAK HILL ACADEMY
BEXAR,OAK ISLAND ACADEMY
SMITH,OAK TREE ACADEMY
BRAZOS,OAKWELL ACADEMY
ECTOR,ODESSA CHRISTIAN SCHOOL
TRAVIS,ODYSSEY SCHOOL
BEXAR,ONE SCHOOL GLOBAL
YOUNG,OPEN DOOR CHRISTIAN SCHOOL
MIDLAND,ORION HIGH SCHOOL
GALVESTON,OUR LADY OF FATIMA CATHOLIC SCHOOL
ATASCOSA,OUR LADY OF GRACE CATHOLIC SCHOOL
HARRIS,OUR LADY OF GUADALUPE SCHOOL
GALVESTON,OUR LADY OF LOURDES CATHOLIC SCHOOL
NUECES,OUR LADY OF PERPETUAL HELP ACADEMY
BEXAR,OUR LADY OF PERPETUAL HELP SCHOOL
DALLAS,OUR LADY OF PERPETUAL HELP SCHOOL
MAVERICK,OUR LADY OF REFUGE CATHOLIC SCHOOL
CALHOUN,OUR LADY OF THE GULF CATHOLIC SCHOOL
KERR,OUR LADY OF THE HILLS REG CATHOLIC HIGH SCHOOL
VICTORIA,OUR LADY OF VICTORY SCHOOL
BRAZORIA,OUR LADY QUEEN OF PEACE CATHOLIC SCHOOL
HARRIS,OUR REDEEMER LUTHERAN NORTH SCHOOL
DALLAS,OUR REDEEMER LUTHERAN SCHOOL
DALLAS,OUR REDEEMER LUTHERAN SCHOOL OF DALLAS
HARRIS,OUR SAVIOR LUTHERAN SCHOOL
ELLIS,OVILLA CHRISTIAN SCHOOL
EL PASO,PALM TREE ACADEMY
HAYS,PALOMA MONTESSORI SCHOOL
TARRANT,PANTEGO CHRISTIAN ACADEMY
TARRANT,PANTEGO CHRISTIAN ACADEMY  - ARLINGTON CAMPUS
HARRIS,PARADIGM DEVELOPMENT CENTER
TRAVIS,PARAGON PREPARATORY INC
DALLAS,PARISH EPISCOPAL SCHOOL
DALLAS,PARISH EPISCOPAL SCHOOL
TARRANT,PARK ROW CHRISTIAN ACADEMY
TRAVIS,PARKSIDE COMMUNITY SCHOOL
MCLENNAN,PARKVIEW CHRISTIAN ACADEMY
JOHNSON,PATHWAY CHRISTIAN ACADEMY
COLLIN,PATHWAY CHRISTIAN PREP ACADEMY
HAYS,PATHWAYS SCHOOL AT DSUMC
COLLIN,PEBBLECREEK MONTESSORI
HARRIS,PINES MONTESSORI SCHOOL
HARRIS,PINES PRESBYTERIAN PRESCHOOL
BEXAR,PINNACLE MONTESSORI
BEXAR,PINNACLE MONTESSORI ACADEMY OF ALAMO RANCH
COLLIN,PINNACLE MONTESSORI OF FRISCO
BANDERA,PIPE CREEK CHRISTIAN SCHOOL
HALE,PLAINVIEW CHRISTIAN ACADEMY
KAUFMAN,POETRY COMMUNITY CHRISTIAN SCHOOL
MONTGOMERY,PORTER CHRISTIAN ACADEMY
DENTON,PREMIER ACADEMY OF TROPHY CLUB
GREGG,PRESBYTERIAN CHILDRENS CENTER
VICTORIA,PRESBYTERIAN DAY SCHOOL
KLEBERG,PRESBYTERIAN PAN AMERICAN SCHOOL
HARRIS,PRESBYTERIAN SCHOOL
COLLIN,PRESTON ABC DAY SCHOOL
DALLAS,PRESTON HOLLOW PRESBYTERIAN SCHOOL
COLLIN,PRESTON MEADOWS MONTESSORI SCHOOL
DENTON,PRESTONWOOD CHRISTIAN ACADEMY
COLLIN,PRESTONWOOD CHRISTIAN ACADEMY OF PROSPER
COLLIN,PRESTONWOOD CHRISTIAN ACADEMY ONLINE
HARRIS,PRIMOSE SCHOOL OF ATASCOCITO
DALLAS,PRIMROSE  SCHOOL OF RICHARDSON
MONTGOMERY,PRIMROSE OF CONROE
DENTON,PRIMROSE OF FRISCO WEST
DALLAS,PRIMROSE OF PRESTONWOOD
HARRIS,PRIMROSE SCHOOL AT FALL CREEK
TARRANT,PRIMROSE SCHOOL AT HIDDEN LAKES
HARRIS,PRIMROSE SCHOOL AT SUMMERWOOD
WILLIAMSON,PRIMROSE SCHOOL AT VISTA RIDGE
FORT BEND,PRIMROSE SCHOOL AT WATERSIDE ESTATES
BEXAR,PRIMROSE SCHOOL OF ALAMO RANCH
HARRIS,PRIMROSE SCHOOL OF BARKER CYPRESS
TRAVIS,PRIMROSE SCHOOL OF BEE CAVE
COLLIN,PRIMROSE SCHOOL OF BRECKINRIDGE PARK
DENTON,PRIMROSE SCHOOL OF CASTLE HILLS
HARRIS,PRIMROSE SCHOOL OF CLEAR LAKE
BRAZOS,PRIMROSE SCHOOL OF COLLEGE STATION
TARRANT,PRIMROSE SCHOOL OF COLUMBUS TRAIL
DALLAS,PRIMROSE SCHOOL OF COPPELL
HARRIS,PRIMROSE SCHOOL OF COPPERFIELD
WILLIAMSON,PRIMROSE SCHOOL OF CRYSTAL FALLS
HAYS,PRIMROSE SCHOOL OF DRIPPING SPRINGS
HARRIS,PRIMROSE SCHOOL OF EAGLE SPRINGS
COLLIN,PRIMROSE SCHOOL OF EAST ALLEN
HARRIS,PRIMROSE SCHOOL OF ELDRIDGE PARKWAY
FORT BEND,PRIMROSE SCHOOL OF FIRST COLONY
DENTON,PRIMROSE SCHOOL OF FRISCO AT MAIN AND TEEL
TARRANT,PRIMROSE SCHOOL OF GRAPEVINE COLLEYVILLE
MONTGOMERY,PRIMROSE SCHOOL OF HARMONY
HARRIS,PRIMROSE SCHOOL OF KINGWOOD
COLLIN,PRIMROSE SCHOOL OF LAKEHILL
DALLAS,PRIMROSE SCHOOL OF LAS COLINAS
DALLAS,PRIMROSE SCHOOL OF N. RICHARDSON @ LOOKOUT
TARRANT,PRIMROSE SCHOOL OF PARKWOOD HILL
TRAVIS,PRIMROSE SCHOOL OF PFLUGERVILLE AT FALCON POINTE
COLLIN,PRIMROSE SCHOOL OF PRESTMONT
ROCKWALL,PRIMROSE SCHOOL OF ROCKWALL
WILLIAMSON,PRIMROSE SCHOOL OF ROUND ROCK
DALLAS,PRIMROSE SCHOOL OF ROWLETT
TRAVIS,PRIMROSE SCHOOL OF SHADY HOLLOW
COLLIN,PRIMROSE SCHOOL OF SOUTH PLANO
TRAVIS,PRIMROSE SCHOOL OF SOUTHWEST AUSTIN
HARRIS,PRIMROSE SCHOOL OF SPRING KLEIN
COLLIN,PRIMROSE SCHOOL OF STONE BROOKE
TARRANT,PRIMROSE SCHOOL OF THE MID-CITIES
HARRIS,PRIMROSE SCHOOL OF THE WOODLANDS AT CREEKSIDE PARK
MONTGOMERY,PRIMROSE SCHOOL OF THE WOODLANDS AT HUGHES LANDING
MONTGOMERY,PRIMROSE SCHOOL OF THE WOODLANDS AT STERLING RIDGE
COLLIN,PRIMROSE SCHOOL OF WEST ALLEN
FORT BEND,PRIMROSE SCHOOL OF WEST CINCO RANCH
BRAZORIA,PRIMROSE SCHOOL OF WEST PEARLAND
TARRANT,PRIMROSE SCHOOL OF WESTLAKE AT ENTRADA
COLLIN,PRIMROSE WEST PLANO
COLLIN,PRINCE OF PEACE CATHOLIC SCHOOL
COLLIN,PRINCE OF PEACE CHRISTIAN SCHOOL
SMITH,PROMISE ACADEMY
COLLIN,PROSPER MONTESSORI ACADEMY
BEXAR,PROVIDENCE CATHOLIC SCHOOL
HARRIS,PROVIDENCE CLASSICAL SCHOOL
BELL,PROVIDENCE PREPARATORY SCHOOL
BELL,PROVIDENCE PREPARATORY SCHOOL
HARRIS,PUEBLOS ROYAL CHRISTIAN SCHOOL
DALLAS,QALAM COLLEGIATE ACADEMY
HARRIS,QUBA ACADEMY
HARRIS,QUBA ACADEMY
EL PASO,RADFORD SCHOOL
DALLAS,RADIANT STEM ACADEMY
HARRIS,RAINARD SCHOOL
TRAVIS,RAWSON-SAUNDERS-AUSTIN AREA SCHOOL FOR DYSLEXICS
TARRANT,READING FRIENDS
COLLIN,RED COMET
EASTLAND,REDEEMER CHILDHOOD LEARNING CENTER
MAVERICK,REDEEMER EPISCOPAL SCHOOL
TRAVIS,REDEEMER LUTHERAN SCHOOL
DALLAS,REDEEMER MONTESSORI SCHOOL
HARRIS,REDEEMERS LEARNING CENTER
HARRIS,REDROSE MONTESSORI SCHOOL
NACOGDOCHES,REGENTS ACADEMY
TRAVIS,REGENTS SCHOOL OF AUSTIN
MCLENNAN,REICHER CATHOLIC HIGH SCHOOL
TRAVIS,RENAISSANCE ACADEMY
COLLIN,RENAISSANCE SCHOOL
MILAM,RESOLUTION RANCH ACADEMY
HARRIS,RESURRECTION LUTHERAN EARLY LEARNING CENTER
BEXAR,RIVER CITY BELIEVERS ACADEMY
HARRIS,RIVER OAKS ACADEMY
HARRIS,RIVER OAKS BAPTIST SCHOOL
FORT BEND,RIVERBEND MONTESSORI SCHOOL
FORT BEND,RIVERSTONE MONTESSORI  LLC
TARRANT,RIVERTREE ACADEMY
HARRIS,ROBINDELL PRIVATE SCHOOL
DALLAS,ROCKBROOK MONTESSORI ACADEMY AT VALLEY RANCH
HARRIS,ROSEHILL CHRISTIAN SCHOOL
WILLIAMSON,ROUND ROCK CHRISTIAN ACADEMY
HOWARD,RUNNELS ACADEMY
COOKE,SACRED HEART CATHOLIC SCHOOL
HARRIS,SACRED HEART CATHOLIC SCHOOL
LAVACA,SACRED HEART CATHOLIC SCHOOL
MONTGOMERY,SACRED HEART CATHOLIC SCHOOL
VAL VERDE,SACRED HEART CATHOLIC SCHOOL
UVALDE,SACRED HEART PARISH SCHOOL
FAYETTE,SACRED HEART SCHOOL
WILSON,SACRED HEART SCHOOL
ARANSAS,SACRED HEART SCHOOL ROCKPORT
HARRIS,SAFARI KIDS LEARNING CENTER
DALLAS,SALAM ACADEMY
BEXAR,SALEM SAYERS BAPTIST ACADEMY
TOM GREEN,SAN ANGELO CHRISTIAN ACADEMY
BEXAR,SAN ANTONIO COUNTRY DAY MONTESSORI SCHOOL
HARRIS,SAN FRANCISCO NATIVITY ACADEMY
POTTER,SAN JACINTO CHRISTIAN ACADEMY
TRAVIS,SAN JUAN DIEGO CATHOLIC HIGH SCHOOL
HAYS,SAN MARCOS BAPTIST ACADEMY
HIDALGO,SAN MARTIN DE PORRES CATHOLIC SCHOOL
HIDALGO,SANCTUARY ACADEMY OF THE REGIONAL BIBLE INSTITUTE
DALLAS,SANTA CLARA OF ASSISI CATHOLIC ACADEMY
WILLIAMSON,SAPIENTIA MONTESSORI SCHOOL
GALVESTON,SATORI SCHOOL
BEXAR,SCENIC HILLS CHRISTIAN ACADEMY
GREGG,SCHOOL FOR LITTLE CHILDREN
TRAVIS,SCHOOL IN THE HILLS
HARRIS,SCHOOL OF THE WOODS
DALLAS,SCOFIELD CHRISTIAN SCHOOL
HARRIS,SECOND BAPTIST SCHOOL
GUADALUPE,SEGUIN CHRISTIAN ACADEMY
GAINES,SEMINOLE MENNONITE SCHOOL
COLLIN,SEVENSTAR ACADEMY
HARRIS,SHADY ACRES CHRISTIAN SCHOOL
FORT BEND,SHADY OAK CHRISTIAN SCHOOL
FORT BEND,SHADY OAK PRIMARY SCHOOL
LUBBOCK,SHARP ACADEMY
COLLIN,SHELTON SCHOOL
BEXAR,SHEPHERD OF THE HILLS LUTHERAN SCHOOL
HARRIS,SHERWOOD FOREST MONTESSORI SCHOOL
EL PASO,SHILOH CHRISTIAN ACADEMY
LAVACA,SHINER CATHOLIC SCHOOL
WILLIAMSON,SHINING STARS MONTESSORI LLC
TOM GREEN,SIERRA VISTA CHILD DEVELOPMENT CENTER
ERATH,SILVER SADDLE CHRISTIAN ACADEMY
BRAZORIA,SILVERLINE MONTESSORI - SILVERLAKE CAMPUS
BRAZORIA,SILVERLINE MONTESSORI SCHOOL - SHADOW CREEK
FORT BEND,SIMONTON CHRISTIAN ACADEMY
HARRIS,SMALL STEPS NURTURING CENTER - JENSEN
HARRIS,SMALLER SCHOLARS MONTESSORI
SCURRY,SNYDER CHRISTIAN SCHOOL
JEFFERSON,SOLID ROCK CHRISTIAN ACADEMY
NUECES,SOLID ROCK CHRISTIAN ACADEMY
MONTGOMERY,SON KIDS CHRISTIAN SCHOOL
GALVESTON,SOUTH SHORE MONTESSORI
HIDALGO,SOUTH TEXAS CHRISTIAN ACADEMY
LUBBOCK,SOUTHCREST CHRISTIAN SCHOOL
TARRANT,SOUTHLAKE EARLY CARE AND EDUCATION
FORT BEND,SOUTHMINSTER SCHOOL
DALLAS,SOUTHWEST ADVENTIST JUNIOR ACADEMY
TARRANT,SOUTHWEST CHRISTIAN SCHOOL
HARRIS,SOUTHWEST COMMUNITY CHRISTIAN ACADEMY
CALDWELL,SOUTHWEST TEXAS HIGH SCHOOL
COLLIN,SPANISH SCHOOLHOUSE
DALLAS,SPANISH SCHOOLHOUSE
FORT BEND,SPANISH SCHOOLHOUSE
HARRIS,SPANISH SCHOOLHOUSE
ROCKWALL,SPANISH SCHOOLHOUSE
TARRANT,SPANISH SCHOOLHOUSE
HARRIS,SPELL WELL MONTESSORI SCHOOL
HARRIS,SPRING BAPTIST ACADEMY
COLLIN,SPRING CREEK ACADEMY
HARRIS,SPRING WOODS CHRISTIAN ACADEMY
LUBBOCK,SPRINGBOARD ACADEMICS
DENTON,SPRINGBOK ACADEMY
DALLAS,SPRINGHILL MONTESSORI SCHOOL
COMAL,SS PETER & PAUL CATHOLIC SCHOOL
NUECES,SS. CYRIL & METHODIUS CATHOLIC SCHOOL
HARRIS,ST AGNES ACADEMY COLLEGE PREPARATORY
CAMERON,ST ALBANS EPISCOPAL DAY SCHOOL
HARRIS,ST AMBROSE SCHOOL
TARRANT,ST ANDREW CATHOLIC
POTTER,ST ANDREW'S EPISCOPAL SCHOOL
TRAVIS,ST ANDREW'S EPISCOPAL SCHOOL
TRAVIS,ST ANDREWS EPISCOPAL SCHOOL
MIDLAND,ST ANN S SCHOOL
HARRIS,ST ANNE CATHOLIC SCHOOL
JEFFERSON,ST ANNE CATHOLIC SCHOOL
JEFFERSON,ST ANTHONY CATHEDRAL BASILICA SCHOOL
BEXAR,ST ANTHONY CATHOLIC HIGH SCHOOL
CAMERON,ST ANTHONY CATHOLIC SCHOOL
DEAF SMITH,ST ANTHONY CATHOLIC SCHOOL
HARTLEY,ST ANTHONY OF PADUA CATHOLIC SCHOOL
COLORADO,ST ANTHONY SCHOOL
NUECES,ST ANTHONY SCHOOL
TARRANT,ST AUGUSTIN CATHOLIC HIGH SCHOOL
HARRIS,ST AUGUSTINE CATHOLIC SCHOOL
WEBB,ST AUGUSTINE ELEMENTARY & MIDDLE SCHOOL
WEBB,ST AUGUSTINE HIGH SCHOOL
TRAVIS,ST AUSTIN CATHOLIC SCHOOL
DALLAS,ST BERNARD OF CLAIRVAUX SCHOOL
HARRIS,ST CATHERINE'S MONTESSORI
HARRIS,ST CECILIA CATHOLIC SCHOOL
ANGELINA,ST CYPRIAN'S EPISCOPAL SCHOOL
BEXAR,ST DAVIDS EPISCOPAL SCHOOL
WILLIAMSON,ST DOMINIC SAVIO CATHOLIC HIGH SCHOOL
HARRIS,ST EDWARD CATHOLIC SCHOOL
HARRIS,ST ELIZABETH ANN SETON SCHOOL
JIM WELLS,ST ELIZABETH CATHOLIC SCHOOL
DALLAS,ST ELIZABETH OF HUNGARY CATHOLIC SCHOOL
HARRIS,ST FRANCIS DE SALES SCHOOL
BELL,ST FRANCIS EPISCOPAL SCHOOL
HARRIS,ST FRANCIS EPISCOPAL SCHOOL
TRAVIS,ST FRANCIS SCHOOL
TRAVIS,ST GABRIEL'S CATHOLIC SCHOOL
TARRANT,ST GEORGE CATHOLIC SCHOOL
BEXAR,ST GEORGE EPISCOPAL SCHOOL
BEXAR,ST GERARD CATHOLIC SCHOOL
BEXAR,ST GREGORY THE GREAT CATHOLIC SCHOOL
BRAZORIA,ST HELEN CATHOLIC SCHOOL
WILLIAMSON,ST HELEN CATHOLIC SCHOOL
KENDALL,ST HELENAS EPISCOPAL SCHOOL
TARRANT,ST IGNATIUS COLLEGE PREP
HARRIS,ST IGNATIUS LOYOLA EARLY  CHILDHOOD CENTER
TRAVIS,ST IGNATIUS MARTYR  CATHOLIC SCHOOL
GUADALUPE,ST JAMES CATHOLIC SCHOOL
BOWIE,ST JAMES DAY SCHOOL
NUECES,ST JAMES EPISCOPAL SCHOOL
VAL VERDE,ST JAMES EPISCOPAL SCHOOL
DALLAS,ST JAMES EPISCOPAL SCHOOL OF DALLAS
BEXAR,ST JAMES THE APOSTLE SCHOOL
HARRIS,ST JEROME CATHOLIC SCHOOL
BEXAR,ST JOHN BERCHMANS SCHOOL
BEXAR,ST JOHN BOSCO SCHOOL
HAMILTON,ST JOHN LUTHERAN PRESCHOOL KINDER/BRIDGE
NUECES,ST JOHN PAUL II HIGH SCHOOL
TARRANT,ST JOHN THE APOSTLE CATHOLIC
HARRIS,ST JOHN XXIII COLLEGE PRREPARATORY
HIDALGO,ST JOHNS EPISCOPAL DAY SCHOOL
TAYLOR,ST JOHNS EPISCOPAL SCHOOL
CAMERON,ST JOSEPH ACADEMY
BELL,ST JOSEPH CATHOLIC ACADEMY
RANDALL,ST JOSEPH CATHOLIC ELEMENTARY & MONTESSOTIR SCHOOL
BRAZOS,ST JOSEPH CATHOLIC SCHOOL
DALLAS,ST JOSEPH CATHOLIC SCHOOL
ELLIS,ST JOSEPH CATHOLIC SCHOOL
HARRIS,ST JOSEPH CATHOLIC SCHOOL
HIDALGO,ST JOSEPH CATHOLIC SCHOOL
TARRANT,ST JOSEPH CATHOLIC SCHOOL
BRAZOS,ST JOSEPH CATHOLIC SCHOOL - ELEMENTARY CAMPUS
LAVACA,ST JOSEPH ELEMENTARY SCHOOL
VICTORIA,ST JOSEPH HIGH SCHOOL
MCLENNAN,ST LOUIS CATHOLIC SCHOOL
MEDINA,ST LOUIS CATHOLIC SCHOOL
TRAVIS,ST LOUIS CATHOLIC SCHOOL
BEXAR,ST LUKE CATHOLIC SCHOOL
LUBBOCK,ST LUKE'S PRESCHOOL
