County,NAME
DENTON,CORAM DEO ACADEMY
COLLIN,CORAM DEO ACADEMY OF COLLIN COUNTY
DENTON,CORINTH MONTESSORI SCHOOL
FORT BEND,CORNERSTONE CHRISTIAN ACADEMY
NOLAN,CORNERSTONE CHRISTIAN SCHOOL
TAYLOR,CORNERSTONE CHRISTIAN SCHOOL
TOM GREEN,CORNERSTONE CHRISTIAN SCHOOL
BEXAR,CORNERSTONE CHRISTIAN SCHOOLS
DALLAS,CORNERSTONE CROSSROADS ACADEMY
HARRIS,CORPUS CHRISTI CATHOLIC SCHOOL
TARRANT,COUNTRY DAY SCHOOL OF ARLINGTON
PARKER,COUTS CHRISTIAN ACADEMY
HARRIS,COVENANT ACADEMY
HIDALGO,COVENANT CHRISTIAN ACADEMY
TARRANT,COVENANT CHRISTIAN ACADEMY
MONTGOMERY,COVENANT CHRISTIAN SCHOOL
TARRANT,COVENANT CLASSICAL SCHOOL
WILLIAMSON,COVENANT COMMUNITY SCHOOLS
BRAZOS,COVENANT PRESBYTERIAN DAY SCHOOL
HARRIS,CRANBROOK LEARNING CONNECTION
HARRIS,CREATIVE CORNER
GALVESTON,CREATIVE CORNERS SCHOOL
DENTON,CREEKWOOD SCHOOL
DENTON,CREME DE LA CREME
COLLIN,CREME DE LA CREME - ALLEN
COLLIN,CREME DE LA CREME - PLANO
KENDALL,CRESTMONT CHRISTIAN PREPARATORY SCHOOL
MIDLAND,CRESTVIEW BAPTIST EARLY CHILDHOOD CENTER
DALLAS,CRISTO REY DALLAS COLLEGE PREP
TARRANT,CRISTO REY FORT WORTH COLLEGE PREP
BROWN,CROSS CLASSICAL ACADEMY
COMAL,CROSS LUTHERAN SCHOOL
HARRIS,CROSS POINT PRESCHOOL KATY
HARRIS,CROSSING BORDERS BILINGUAL ACADEMY
TARRANT,CROSSROADS CHRISTIAN ACADEMY
ECTOR,CROSSROADS SCHOOL
TARRANT,CROWN OF LIFE LUTHERAN SCHOOL
HARRIS,CUNAE INTERNATIONAL SCHOOL
COLLIN,CUSTER ROAD CHRISTIAN DAY SCHOOL
HARRIS,CY FAIR MONTESSORI SCHOOL
MARION,CYPRESS BEND ADVENTIST ELEMENTARY SCHOOL
HARRIS,CYPRESS CHRISTIAN SCHOOL
COLLIN,CYPRESS CREEK CHILDREN'S MONTESSORI SCHOOL
HARRIS,CYPRESS MONTESSORI SCHOOL
HARRIS,CYPRESSWOOD MONTESSORI SCHOOL
HARRIS,D.A.V. MONTESSORI SCHOOL
HARTLEY,DALHART CHRISTIAN ACADEMY
DALLAS,DALLAS ACADEMY
DALLAS,DALLAS CHRISTIAN ACADEMY
DALLAS,DALLAS INTERNATIONAL SCHOOL
DALLAS,DALLAS LUTHERAN SCHOOL
HARRIS,DARUL ARQAM SOUTHEAST
DENTON,DENTON CALVARY ACADEMY
DALLAS,DESOTO PRIVATE SCHOOL
VICTORIA,DEVEREUX - VICTORIA
GALVESTON,DEVEREUX SCHOOL
COLLIN,DISCOVERY DAYS
COLLIN,DISCOVERY MONTESSORI ACADEMY
MONTGOMERY,DISCOVERY SCHOOL OF INNOVATION
BEXAR,"DISCOVERY SCHOOL OF SAN ANTONIO, INC"
WILLIAMSON,DIVINE SAVIOR ACADEMY - SANTA RITA RANCH
FORT BEND,DIVINE SAVIOR ACADEMY - SIENNA PLANTATION
TARRANT,DR. R. W. GOINES STEM ACADEMY
HARRIS,DUCHESNE ACADEMY OF THE SACRED HEART
TARRANT,EA YOUNG ACADEMY
MCLENNAN,EAGLE CHRISTIAN ACADEMY
BRAZORIA,EAGLE HEIGHTS CHRISTIAN ACADEMY
DALLAS,EASTRIDGE CHRISTIAN SCHOOL
DALLAS,EASTSIDE CHILD DEVELOPMENT CENTER
POLK,EASTSIDE CHRISTIAN SCHOOL
MAVERICK,EDEN LEARNING CENTER LLC.
JACKSON,EDNA CHRISTIAN ACADEMY
EL PASO,EL PASO ADVENTIST JUNIOR ACADEMY
EL PASO,EL PASO BRIDGES ACADEMY
EL PASO,EL PASO COUNTRY DAY SCHOOL
HARRIS,ELIM CHRISTIAN SCHOOL
GONZALES,EMMANUEL CHRISTIAN SCHOOL
HARRIS,EPIPHANY LUTHERAN SCHOOL
KLEBERG,EPIPHANY MONTESSORI SCHOOL
HARRIS,EPIPHANY OF THE LORD CATHOLIC SCHOOL
CAMERON,EPISCOPAL DAY SCHOOL
HARRIS,EPISCOPAL HIGH SCHOOL
DALLAS,EPISCOPAL SCHOOL OF DALLAS PK-12
TRAVIS,ESCUELA HISPANOAMERICANA DE TEXAS
EL PASO,ESCUELA MONTESSORI DEL VALLE
MONTGOMERY,ESPRIT INTERNATIONAL SCHOOL
HARRIS,ETERNITY CHRISTIAN SCHOOL
FORT BEND,EVEREST ACADEMY
FORT BEND,EXCEL ADVENTIST ACADEMY
BEXAR,EXCELLED MONTESSORI PLUS
BELL,EXCELLENT COVENANT CHRISTIAN ACADEMY
DENTON,EXPLORATIONS PREPARATORY SCHOOL
DALLAS,FAIRHILL SCHOOL
VICTORIA,FAITH ACADEMY
VICTORIA,FAITH ACADEMY
BURNET,FAITH ACADEMY OF MARBLE FALLS
HARRIS,FAITH CHRISTIAN ACADEMY
WHARTON,FAITH CHRISTIAN ACADEMY
DENTON,FAITH LUTHERAN DAY SCHOOL
HARRIS,FAITH LUTHERAN DAY SCHOOL
FAYETTE,FAITH LUTHERAN HIGH SCHOOL OF CENTRAL TEXAS
FORT BEND,FAITH SCHOOL FOR YOUNG CHILDREN
HARRIS,FAITH WEST ACADEMY
EL PASO,FATHER YERMO  SCHOOLS
EL PASO,FATHER YERMO SCHOOLS
FORT BEND,FELLOWSHIP CHRISTIAN ACADEMY
ELLIS,FERRIS CHRISTIAN ACADEMY
TARRANT,FIELDER ROAD EARLY CHILDHOOD CENTER
DALLAS,FIREWHEEL CHRISTIAN ACADEMY
HARDIN,FIRST BAPTIST ACADEMY
HARRIS,FIRST BAPTIST ACADEMY
DALLAS,FIRST BAPTIST ACADEMY DALLAS
DALLAS,FIRST BAPTIST ACADEMY OF DALLAS
BEXAR,FIRST BAPTIST ACADEMY OF UNIVERSAL CITY
MIDLAND,FIRST BAPTIST CHILD DEVELOPMENT CENTER
HARRIS,FIRST BAPTIST CHRISTIAN ACADEMY
HILL,FIRST BAPTIST CHRISTIAN S HILLSBORO
HILL,FIRST BAPTIST CHRISTIAN SCHOOL
JASPER,FIRST BAPTIST CHRISTIAN SCHOOL
TARRANT,FIRST BAPTIST CHRISTIAN SCHOOL
BURNET,FIRST BAPTIST CHRISTIAN SCHOOL MARBLE FALLS
BEE,FIRST BAPTIST CHURCH SCHOOL
WASHINGTON,FIRST BAPTIST CHURCH SCHOOL
WILLIAMSON,FIRST BAPTIST CHURCH WEEKDAY EDUCATION
BOWIE,FIRST BAPTIST CHURCH WEEKDAY PRESCHOOL AND KINDER
COLLIN,FIRST BAPTIST LEARNING CENTER
LAMPASAS,FIRST BAPTIST PRESCHOOL & KINDERGARTEN
BURLESON,FIRST BAPTIST SCHOOL
CAMERON,FIRST BAPTIST SCHOOL
ELLIS,FIRST CHRISTIAN DAY SCHOOL
HARRIS,FIRST CHRISTIAN SCHOOL
HARRIS,FIRST CLASS CHILD DEVELOPMENT CENTER
FORT BEND,FIRST COLONY MONTESSORI SOUTH
TARRANT,FIRST FAITH PRESCHOOL & KINDERGARTEN
DALLAS,FIRST METHODIST SCHOOL
KAUFMAN,FIRST PRESBYTERIAN CHURCH KINDERGARTEN
EL PASO,FIRST PRESBYTERIAN PRESCHOOL
COMAL,FIRST PROTESTANT CHURCH SCHOOL
HARRIS,FIRST STEPS MONTESSORI SCHOOL
HARRIS,FIVE STAR MONTESSORI SCHOOL
TARRANT,FLINT ACADEMY
EL PASO,FLYING COLORS LEARNING CENTER #3
EL PASO,FLYING COLORS LEARNING CENTER NO 3
FORT BEND,FORT BEND MONTESSORI SCHOOL
TARRANT,FORT WORTH ACADEMY
TARRANT,FORT WORTH CHRISTIAN SCHOOL
TARRANT,FORT WORTH COUNTRY DAY
TARRANT,FORT WORTH SAVE OUR CHILDREN
WILLIAMSON,FORTIS ACADEMY
BRAZORIA,FOUNDATION PREPARATORY ACADEMY
HARRIS,FOUNDERS CHRISTIAN SCHOOL
TRAVIS,FOUR SEASONS COMMUNITY SCHOOL
