County,Grade_range,School_enroll_2023,School_Type,District_ISD,District_enroll_2023,School_name,geometry
BROWN,03-05,239,Elementary School,EARLY ISD,1109,EARLY EL,"c(-98.9281845, 31.743189)"
WHARTON,09-12,301,High School,EAST BERNARD ISD,1002,EAST BERNARD H S,"c(-96.0652934999999, 29.5251930000001)"
WHARTON,05-08,317,Middle School,EAST BERNARD ISD,1002,EAST BERNARD J H,"c(-96.0652934999999, 29.5251930000001)"
WHARTON,EE-04,384,Elementary School,EAST BERNARD ISD,1002,EAST BERNARD EL,"c(-96.0652934999999, 29.5251930000001)"
BEXAR,09-12,3295,High School,EAST CENTRAL ISD,11176,EAST CENTRAL H S,"c(-98.2965105, 29.3524200000001)"
BEXAR,06-12,5,Elementary/Secondary,EAST CENTRAL ISD,11176,BEXAR CO J J A E P,"c(-98.473202945, 29.4367967160001)"
BEXAR,08-12,222,High School,EAST CENTRAL ISD,11176,EAST CENTRAL CAST LEAD H S,"c(-98.2941345, 29.3509260000001)"
BEXAR,06-12,45,Elementary/Secondary,EAST CENTRAL ISD,11176,BEXAR COUNTY LRN CTR,"c(-98.4269475, 29.3111910000001)"
BEXAR,05-12,34,Elementary/Secondary,EAST CENTRAL ISD,11176,RESTORATIVE AND TRANSITION CENTER,"c(-98.397554191, 29.365066137)"
BEXAR,06-08,1189,Middle School,EAST CENTRAL ISD,11176,EAST CENTRAL HERITAGE MIDDLE,"c(-98.3338605, 29.3557050000001)"
BEXAR,EE-05,526,Elementary School,EAST CENTRAL ISD,11176,PECAN VALLEY EL,"c(-98.41644, 29.37285)"
BEXAR,EE-05,714,Elementary School,EAST CENTRAL ISD,11176,SINCLAIR EL,"c(-98.373159, 29.384919)"
BEXAR,06-08,1121,Middle School,EAST CENTRAL ISD,11176,LEGACY MIDDLE,"c(-98.399196, 29.3656500000001)"
BEXAR,EE-05,677,Elementary School,EAST CENTRAL ISD,11176,HIGHLAND FOREST EL,"c(-98.4209355, 29.353527)"
BEXAR,PK,64,Elementary School,EAST CENTRAL ISD,11176,PRE/K FOR SA - EAST CENTRAL ISD,"c(-98.4511889999999, 29.356191)"
BEXAR,EE-05,678,Elementary School,EAST CENTRAL ISD,11176,OAK CREST EL,"c(-98.3357144999999, 29.3551830000001)"
BEXAR,PK-06,733,Elementary School,EAST CENTRAL ISD,11176,SALADO EL,"c(-98.400078, 29.3635620000001)"
BEXAR,EE-05,732,Elementary School,EAST CENTRAL ISD,11176,HARMONY EL,"c(-98.385417, 29.3144580000001)"
BEXAR,EE-05,1141,Elementary School,EAST CENTRAL ISD,11176,TRADITION EL,"c(-98.2291005, 29.4273900000001)"
CHAMBERS,09-12,466,High School,EAST CHAMBERS ISD,1563,EAST CHAMBERS H S,"c(-94.3811009999999, 29.805165)"
CHAMBERS,03-05,308,Elementary School,EAST CHAMBERS ISD,1563,EAST CHAMBERS EL,"c(-94.3826534999999, 29.8026180000001)"
CHAMBERS,06-08,356,Middle School,EAST CHAMBERS ISD,1563,EAST CHAMBERS J H,"c(-94.383207, 29.8053810000001)"
CHAMBERS,EE-02,433,Elementary School,EAST CHAMBERS ISD,1563,EAST CHAMBERS PRI,"c(-94.3797645, 29.8004310000001)"
TARRANT,EE-05,184,Elementary School,EAST FORT WORTH MONTESSORI ACADEMY,184,EAST FORT WORTH MONTESSORI ACADEMY,"c(-97.2576045, 32.7662280000001)"
GREGG,09-12,128,High School,EAST TEXAS CHARTER SCHOOLS,128,DAN CHADWICK CAMPUS,"c(-94.702977, 32.525964)"
EASTLAND,09-12,327,High School,EASTLAND ISD,1067,EASTLAND H S,"c(-98.8273124999999, 32.3985870000001)"
EASTLAND,06-08,223,Middle School,EASTLAND ISD,1067,EASTLAND MIDDLE,"c(-98.8273124999999, 32.3985870000001)"
EASTLAND,EE-05,517,Elementary School,EASTLAND ISD,1067,SIEBERT EL,"c(-98.8294998549999, 32.394461704)"
ECTOR,09-12,3769,High School,ECTOR COUNTY ISD,33426,ODESSA H S,"c(-102.382722, 31.8514860000001)"
ECTOR,06-12,100,Elementary/Secondary,ECTOR COUNTY ISD,33426,ALTER ED CTR,"c(-102.381634441, 31.9133478470001)"
ECTOR,09-12,4126,High School,ECTOR COUNTY ISD,33426,PERMIAN H S,"c(-102.3580395, 31.8866310000001)"
ECTOR,09-12,395,High School,ECTOR COUNTY ISD,33426,ODESSA CAREER AND TECHNICAL EARLY COLLEGE H S,"c(-102.404944065, 31.8630430420001)"
ECTOR,09-12,460,High School,ECTOR COUNTY ISD,33426,ODESSA COLLEGIATE ACADEMY EARLY COLLEGE H S,"c(-102.374289, 31.850919)"
ECTOR,09-12,448,High School,ECTOR COUNTY ISD,33426,GEORGE H W BUSH NEW TECH ODESSA,"c(-102.379194, 31.870125)"
ECTOR,06-08,870,Middle School,ECTOR COUNTY ISD,33426,BONHAM MIDDLE,"c(-102.353247, 31.8708810000001)"
ECTOR,06-08,1019,Middle School,ECTOR COUNTY ISD,33426,CROCKETT MIDDLE,"c(-102.406347, 31.856769)"
ECTOR,06-08,872,Middle School,ECTOR COUNTY ISD,33426,BOWIE MIDDLE,"c(-102.38517, 31.860684)"
ECTOR,06-08,1312,Middle School,ECTOR COUNTY ISD,33426,NIMITZ MIDDLE,"c(-102.3335865, 31.8866130000001)"
ECTOR,06-08,1369,Middle School,ECTOR COUNTY ISD,33426,ECTOR COLLEGE PREP SUCCESS ACADEMY,"c(-102.371283, 31.831398)"
ECTOR,PK-06,553,Elementary School,ECTOR COUNTY ISD,33426,AUSTIN MONTESSORI MAGNET,"c(-102.373333198, 31.851478123)"
ECTOR,06-08,1193,Middle School,ECTOR COUNTY ISD,33426,WILSON & YOUNG MEDAL OF HONOR MIDDLE,"c(-102.375675, 31.8822030000001)"
ECTOR,KG-05,340,Elementary School,ECTOR COUNTY ISD,33426,BURNET EL,"c(-102.3629853, 31.881731399)"
ECTOR,KG-05,381,Elementary School,ECTOR COUNTY ISD,33426,BURLESON EL,"c(-102.391164, 31.877307)"
ECTOR,EE-PK,357,Elementary School,ECTOR COUNTY ISD,33426,CARVER EARLY EE-KG,"c(-102.35235962, 31.844369289)"
ECTOR,KG-05,594,Elementary School,ECTOR COUNTY ISD,33426,DOWLING EL,"c(-102.3608205, 31.8657150000001)"
ECTOR,PK-06,590,Elementary School,ECTOR COUNTY ISD,33426,CAMERON DUAL LANGUAGE MAGNET,"c(-102.3968205, 31.839408)"
ECTOR,PK-05,616,Elementary School,ECTOR COUNTY ISD,33426,GOLIAD EL,"c(-102.381354, 31.895298)"
ECTOR,PK-05,324,Elementary School,ECTOR COUNTY ISD,33426,GALE POND ALAMO EL,"c(-102.370968, 31.867731)"
ECTOR,PK-05,477,Elementary School,ECTOR COUNTY ISD,33426,GONZALES EL,"c(-102.3359715, 31.868838)"
ECTOR,PK-05,497,Elementary School,ECTOR COUNTY ISD,33426,EL MAGNET AT HAYS,"c(-102.344148, 31.8368340000001)"
ECTOR,PK-05,424,Elementary School,ECTOR COUNTY ISD,33426,IRELAND EL,"c(-102.362733, 31.8914730000001)"
ECTOR,EE-PK,436,Elementary School,ECTOR COUNTY ISD,33426,LAMAR EARLY EE-KG,"c(-102.359523038, 31.8536369020001)"
ECTOR,PK-05,605,Elementary School,ECTOR COUNTY ISD,33426,EL MAGNET AT MILAM EL,"c(-102.353613744, 31.841439941)"
ECTOR,PK-05,412,Elementary School,ECTOR COUNTY ISD,33426,SAM HOUSTON EL,"c(-102.3801885, 31.8776130000001)"
ECTOR,PK-02,579,Elementary School,ECTOR COUNTY ISD,33426,PEASE EL,"c(-102.403413, 31.8549150000001)"
ECTOR,PK-05,422,Elementary School,ECTOR COUNTY ISD,33426,ROSS EL,"c(-102.372273, 31.892841)"
ECTOR,PK-05,662,Elementary School,ECTOR COUNTY ISD,33426,EL MAGNET AT REAGAN EL,"c(-102.34791, 31.870935)"
ECTOR,03-05,490,Elementary School,ECTOR COUNTY ISD,33426,NOEL EL,"c(-102.407535, 31.8665070000001)"
ECTOR,PK-02,436,Elementary School,ECTOR COUNTY ISD,33426,EL MAGNET AT ZAVALA,"c(-102.378456, 31.8314790000001)"
ECTOR,PK-05,375,Elementary School,ECTOR COUNTY ISD,33426,SAN JACINTO EL,"c(-102.3904305, 31.8567150000001)"
ECTOR,PK-05,522,Elementary School,ECTOR COUNTY ISD,33426,BLANTON EL,"c(-102.3393195, 31.8884400000001)"
ECTOR,03-05,292,Elementary School,ECTOR COUNTY ISD,33426,EL MAGNET AT TRAVIS,"c(-102.3600825, 31.8309390000001)"
ECTOR,KG-05,510,Elementary School,ECTOR COUNTY ISD,33426,L B JOHNSON EL,"c(-102.306204, 31.890501)"
ECTOR,KG-05,886,Elementary School,ECTOR COUNTY ISD,33426,BARBARA JORDAN EL,"c(-102.39678, 31.9477410000001)"
ECTOR,PK-05,1089,Elementary School,ECTOR COUNTY ISD,33426,MURRY FLY EL,"c(-102.518334, 31.856679)"
ECTOR,KG-05,693,Elementary School,ECTOR COUNTY ISD,33426,EL MAGNET AT BLACKSHEAR,"c(-102.3528015, 31.842315)"
ECTOR,KG-05,807,Elementary School,ECTOR COUNTY ISD,33426,EDWARD K DOWNING EL,"c(-102.5058015, 31.820931)"
ECTOR,KG-05,683,Elementary School,ECTOR COUNTY ISD,33426,G E 'BUDDY' WEST EL,"c(-102.46545059, 31.8412178310001)"
ECTOR,PK-05,674,Elementary School,ECTOR COUNTY ISD,33426,LAURO CAVAZOS EL,"c(-102.4789635, 31.8298950000001)"
ECTOR,PK,186,Elementary School,ECTOR COUNTY ISD,33426,THE ODESSA Y LEARNING CENTER,"c(-102.327291, 31.867875)"
ECTOR,KG-05,821,Elementary School,ECTOR COUNTY ISD,33426,LEE BUICE EL,"c(-102.37581, 31.938723)"
FANNIN,07-12,117,High School,ECTOR ISD,252,ECTOR H S,"c(-96.272703, 33.5750130000001)"
FANNIN,KG-06,135,Elementary School,ECTOR ISD,252,ECTOR EL,"c(-96.272703, 33.5750130000001)"
HIDALGO,07-08,593,Junior High School,EDCOUCH-ELSA ISD,4398,CARLOS TRUAN J H,"c(-98.004351416, 26.3004249690001)"
HIDALGO,KG-05,378,Elementary School,EDCOUCH-ELSA ISD,4398,SANTIAGO GARCIA EL,"c(-97.96048891, 26.2939471230001)"
HIDALGO,KG-05,363,Elementary School,EDCOUCH-ELSA ISD,4398,KENNEDY EL,"c(-97.999605, 26.300331)"
HIDALGO,KG-05,454,Elementary School,EDCOUCH-ELSA ISD,4398,RUBEN C RODRIGUEZ EL,"c(-97.9730636039999, 26.2937912960001)"
HIDALGO,EE-PK,490,Elementary School,EDCOUCH-ELSA ISD,4398,JORGE R GUTIERREZ EARLY CHILDHOOD CENTER,"c(-97.973676, 26.294202)"
HIDALGO,KG-05,460,Elementary School,EDCOUCH-ELSA ISD,4398,L B J EL,"c(-97.989085314, 26.2922748230001)"
HIDALGO,06,290,Middle School,EDCOUCH-ELSA ISD,4398,DAVID YBARRA FINE ARTS ACADEMY,"c(-97.988108504, 26.300794963)"
CONCHO,EE-12,219,Elementary/Secondary,EDEN CISD,221,EDEN CISD,"c(-99.844767267, 31.221139812)"
BEXAR,09-12,846,High School,EDGEWOOD ISD,7930,MEMORIAL H S,"c(-98.5640805, 29.4461640000001)"
BEXAR,09-12,990,High School,EDGEWOOD ISD,7930,JOHN F KENNEDY H S,"c(-98.557173, 29.395701)"
BEXAR,06-08,558,Middle School,EDGEWOOD ISD,7930,BRENTWOOD MIDDLE,"c(-98.5555664999999, 29.395134)"
BEXAR,09-12,261,High School,EDGEWOOD ISD,7930,STEAM AT THE FINE ARTS ACADEMY,"c(-98.5691654999999, 29.4217380000001)"
BEXAR,09-12,232,High School,EDGEWOOD ISD,7930,LEARN4LIFE,"c(-98.557173, 29.395701)"
BEXAR,06-08,451,Middle School,EDGEWOOD ISD,7930,GUS GARCIA MIDDLE,"c(-98.5546305, 29.438946)"
BEXAR,06-08,447,Middle School,EDGEWOOD ISD,7930,E T WRENN MIDDLE,"c(-98.5883805, 29.4231330000001)"
BEXAR,EE-05,389,Elementary School,EDGEWOOD ISD,7930,ALONSO S PERALES EL,"c(-98.5483575, 29.4093540000001)"
BEXAR,KG-07,196,Elementary School,EDGEWOOD ISD,7930,ROY CISNEROS EL,"c(-98.5497165, 29.4392700000001)"
BEXAR,EE-05,591,Elementary School,EDGEWOOD ISD,7930,LOMA PARK EL,"c(-98.573194056, 29.4427478200001)"
BEXAR,EE-05,297,Elementary School,EDGEWOOD ISD,7930,L B JOHNSON EL,"c(-98.5903605, 29.435103)"
BEXAR,03-05,240,Elementary School,EDGEWOOD ISD,7930,ROOSEVELT EL,"c(-98.562537, 29.437128)"
BEXAR,EE-PK,238,Elementary School,EDGEWOOD ISD,7930,CARDENAS CENTER,"c(-98.5546305, 29.438946)"
BEXAR,04-05,181,Elementary School,EDGEWOOD ISD,7930,STAFFORD EL,"c(-98.573976, 29.4248250000001)"
BEXAR,EE-05,389,Elementary School,EDGEWOOD ISD,7930,H B GONZALEZ EL,"c(-98.584263, 29.4103260000001)"
BEXAR,EE-KG,260,Elementary School,EDGEWOOD ISD,7930,STAFFORD CENTER,"c(-98.573697, 29.422044)"
BEXAR,PK-02,242,Elementary School,EDGEWOOD ISD,7930,GARDENDALE PRE-K 4 SA EARLY LEARNING,"c(-98.5665959999999, 29.4121440000001)"
BEXAR,03-05,143,Elementary School,EDGEWOOD ISD,7930,WINSTON INT OF EXCELLENCE,"c(-98.5621184999999, 29.390139)"
BEXAR,PK-04,36,Elementary School,EDGEWOOD ISD,7930,PRE-K 4 SAN ANTONIO,"c(-98.5893344999999, 29.4216930000001)"
BEXAR,KG-03,367,Elementary School,EDGEWOOD ISD,7930,STAFFORD EL VISUAL AND PERFORMING ARTS,"c(-98.573976, 29.4248250000001)"
BEXAR,KG-02,217,Elementary School,EDGEWOOD ISD,7930,ROOSEVELT DUAL LANGUAGE ACADEMY,"c(-98.562537, 29.437128)"
BEXAR,KG-07,300,Elementary School,EDGEWOOD ISD,7930,LAS PALMAS LEADERSHIP SCHOOL FOR GIRLS,"c(-98.547966, 29.4208110000001)"
BEXAR,AE,31,Other,EDGEWOOD ISD,7930,BURLESON CENTER,"c(-98.55171, 29.4280380000001)"
VAN ZANDT,09-12,299,High School,EDGEWOOD ISD,1050,EDGEWOOD H S,"c(-95.875188945, 32.693835334)"
VAN ZANDT,06-08,245,Middle School,EDGEWOOD ISD,1050,EDGEWOOD MIDDLE,"c(-95.875188945, 32.693835334)"
VAN ZANDT,03-05,246,Elementary School,EDGEWOOD ISD,1050,EDGEWOOD INT,"c(-95.875188945, 32.693835334)"
VAN ZANDT,EE-02,260,Elementary School,EDGEWOOD ISD,1050,EDGEWOOD EL,"c(-95.875188945, 32.693835334)"
HIDALGO,09-12,2707,High School,EDINBURG CISD,33810,ECONOMEDES H S,"c(-98.1015839999999, 26.3104470000001)"
HIDALGO,09-12,2352,High School,EDINBURG CISD,33810,EDINBURG H S,"c(-98.142557455, 26.265093404)"
HIDALGO,09-12,2635,High School,EDINBURG CISD,33810,EDINBURG NORTH H S,"c(-98.156921352, 26.3329275340001)"
HIDALGO,09-12,2192,High School,EDINBURG CISD,33810,ROBERT R VELA H S,"c(-98.1599444999999, 26.276913)"
HIDALGO,09-11,317,High School,EDINBURG CISD,33810,EDINBURG COLLEGIATE H S,"c(-98.1486268, 26.3064794250001)"
HIDALGO,03-12,28,Elementary/Secondary,EDINBURG CISD,33810,JUVENILE DETENTION CTR,"c(-98.1306989999999, 26.3058300000001)"
HIDALGO,06-08,1235,Middle School,EDINBURG CISD,33810,SOUTH MIDDLE,"c(-98.1708255, 26.2895580000001)"
HIDALGO,06-08,1046,Middle School,EDINBURG CISD,33810,B L GARZA MIDDLE,"c(-98.1979425, 26.3190240000001)"
HIDALGO,06-08,1075,Middle School,EDINBURG CISD,33810,MEMORIAL MIDDLE,"c(-98.127873, 26.32383)"
HIDALGO,06-08,1113,Middle School,EDINBURG CISD,33810,FRANCISCO BARRIENTES MIDDLE,"c(-98.153196183, 26.2889042790001)"
HIDALGO,EE-05,349,Elementary School,EDINBURG CISD,33810,AUSTIN EL,"c(-98.1510525, 26.302311)"
HIDALGO,EE-08,314,Elementary School,EDINBURG CISD,33810,BREWSTER EL,"c(-98.131356, 26.5627620000001)"
HIDALGO,06-08,778,Middle School,EDINBURG CISD,33810,ELIAS LONGORIA SR MIDDLE,"c(-98.1662985, 26.3055150000001)"
HIDALGO,EE-05,515,Elementary School,EDINBURG CISD,33810,HARGILL EL,"c(-98.015599464, 26.4458126640001)"
HIDALGO,EE-05,559,Elementary School,EDINBURG CISD,33810,BETTS EL,"c(-98.1201975819999, 26.2724394740001)"
HIDALGO,EE-05,477,Elementary School,EDINBURG CISD,33810,JEFFERSON ELEM,"c(-98.1616185, 26.2929960000001)"
HIDALGO,EE-05,697,Elementary School,EDINBURG CISD,33810,TREVINO EL,"c(-98.204796, 26.298927)"
HIDALGO,EE-05,436,Elementary School,EDINBURG CISD,33810,LEE EL,"c(-98.176779, 26.297667)"
HIDALGO,EE-05,420,Elementary School,EDINBURG CISD,33810,LINCOLN EL,"c(-98.1478215, 26.3049750000001)"
HIDALGO,EE-05,587,Elementary School,EDINBURG CISD,33810,ZAVALA EL,"c(-98.1981044999999, 26.3366730000001)"
HIDALGO,EE-05,361,Elementary School,EDINBURG CISD,33810,TRAVIS EL,"c(-98.1511829999999, 26.28945)"
HIDALGO,EE-05,573,Elementary School,EDINBURG CISD,33810,GUERRA EL,"c(-98.149257, 26.402976)"
HIDALGO,EE-05,526,Elementary School,EDINBURG CISD,33810,FREDDY GONZALEZ EL,"c(-98.1827729999999, 26.2812240000001)"
HIDALGO,EE-05,715,Elementary School,EDINBURG CISD,33810,CANTERBURY EL,"c(-98.195661, 26.281035)"
HIDALGO,EE-05,422,Elementary School,EDINBURG CISD,33810,L B JOHNSON EL,"c(-98.1456795, 26.2922760000001)"
HIDALGO,EE-05,574,Elementary School,EDINBURG CISD,33810,MONTE CRISTO EL,"c(-98.1197865, 26.335854)"
HIDALGO,EE-05,629,Elementary School,EDINBURG CISD,33810,DE LA VINA EL,"c(-98.1890549999999, 26.294949)"
HIDALGO,EE-05,651,Elementary School,EDINBURG CISD,33810,ESCANDON EL,"c(-98.158653, 26.259039)"
HIDALGO,EE-05,709,Elementary School,EDINBURG CISD,33810,TRUMAN EL,"c(-98.164089, 26.3322450000001)"
HIDALGO,EE-05,515,Elementary School,EDINBURG CISD,33810,JOHN F KENNEDY EL,"c(-98.071213638, 26.290704136)"
HIDALGO,EE-05,651,Elementary School,EDINBURG CISD,33810,EISENHOWER EL,"c(-98.1282761259999, 26.318481675)"
HIDALGO,EE-05,433,Elementary School,EDINBURG CISD,33810,CAVAZOS EL,"c(-98.240843038, 26.2932672640001)"
HIDALGO,EE-05,474,Elementary School,EDINBURG CISD,33810,SAN CARLOS EL,"c(-98.072838, 26.2895760000001)"
HIDALGO,EE-05,388,Elementary School,EDINBURG CISD,33810,CANO-GONZALEZ EL,"c(-98.142012, 26.284545)"
HIDALGO,EE-05,636,Elementary School,EDINBURG CISD,33810,CARMEN V AVILA EL,"c(-98.088670038, 26.3854648510001)"
HIDALGO,EE-05,571,Elementary School,EDINBURG CISD,33810,VILLARREAL EL,"c(-98.1197865, 26.335854)"
HIDALGO,EE-05,472,Elementary School,EDINBURG CISD,33810,ANNE L MAGEE EL,"c(-98.1972604599999, 26.3355989040001)"
HIDALGO,EE-05,520,Elementary School,EDINBURG CISD,33810,DR THOMAS ESPARZA EL,"c(-98.1191249999999, 26.271891)"
HIDALGO,EE-05,719,Elementary School,EDINBURG CISD,33810,ALFONSO RAMIREZ EL,"c(-98.189703, 26.255745)"
HIDALGO,EE-05,554,Elementary School,EDINBURG CISD,33810,R C FLORES-MARK A ZAPATA EL,"c(-98.230384536, 26.3321390580001)"
HIDALGO,EE-05,613,Elementary School,EDINBURG CISD,33810,DR KAY TEER CRAWFORD EL,"c(-98.1336914999999, 26.3546640000001)"
HIDALGO,EE-05,605,Elementary School,EDINBURG CISD,33810,MACARIA DELA GARZA GORENA EL,"c(-98.150867068, 26.28476385)"
HIDALGO,EE-PK,337,Elementary School,EDINBURG CISD,33810,EARLY CHILDHOOD,"c(-98.1662985, 26.3055150000001)"
JACKSON,09-12,432,High School,EDNA ISD,1576,EDNA H S,"c(-96.6527415, 28.963809)"
JACKSON,EE-03,565,Elementary School,EDNA ISD,1576,EDNA PRI,"c(-96.6590775, 28.967472)"
JACKSON,04-05,224,Elementary School,EDNA ISD,1576,EDNA INT,"c(-96.6590775, 28.967472)"
JACKSON,06-12,27,Elementary/Secondary,EDNA ISD,1576,EDNA ALTERNATIVE,"c(-96.6513465, 28.983726)"
JACKSON,06-08,328,Middle School,EDNA ISD,1576,EDNA J H,"c(-96.644754, 28.971774)"
DALLAS,PK-06,127,Elementary School,EDUCATION CENTER INTERNATIONAL ACADEMY,438,EDUCATION CENTER INTERNATIONAL ACADEMY 2,"c(-96.5222955, 32.898987)"
DALLAS,PK-06,175,Elementary School,EDUCATION CENTER INTERNATIONAL ACADEMY,438,EDUCATION CENTER INTERNATIONAL ACADEMY 1,"c(-96.5984895, 32.811786)"
ROCKWALL,PK-06,136,Elementary School,EDUCATION CENTER INTERNATIONAL ACADEMY,438,EDUCATION CENTER INTERNATIONAL ACADEMY 3,"c(-96.341607, 32.9737050000001)"
JEFFERSON,PK-08,520,Elementary School,EHRHART SCHOOL,520,EHRHART SCHOOL,"c(-94.125375, 30.072438)"
WHARTON,06-08,699,Middle School,EL CAMPO ISD,3326,EL CAMPO MIDDLE,"c(-96.283239817, 29.2210685430001)"
WHARTON,09-12,999,High School,EL CAMPO ISD,3326,EL CAMPO H S,"c(-96.2818425, 29.202633)"
WHARTON,01-03,720,Elementary School,EL CAMPO ISD,3326,HUTCHINS EL,"c(-96.2843265, 29.197818)"
WHARTON,04-05,496,Elementary School,EL CAMPO ISD,3326,NORTHSIDE EL,"c(-96.286869, 29.2086180000001)"
WHARTON,EE-KG,412,Elementary School,EL CAMPO ISD,3326,MYATT EL,"c(-96.2849429999999, 29.209842)"
EL PASO,09-12,240,High School,EL PASO ACADEMY,381,EL PASO ACADEMY,"c(-106.329132, 31.751784)"
EL PASO,09-12,141,High School,EL PASO ACADEMY,381,EL PASO ACADEMY WEST,"c(-106.5900915, 31.8603420000001)"
EL PASO,09-12,1425,High School,EL PASO ISD,49139,ANDRESS H S,"c(-106.415496, 31.9089960000001)"
EL PASO,09-12,1097,High School,EL PASO ISD,49139,AUSTIN H S,"c(-106.450893, 31.798323)"
EL PASO,09-12,2350,High School,EL PASO ISD,49139,CORONADO H S,"c(-106.544007, 31.836645)"
EL PASO,09-12,1007,High School,EL PASO ISD,49139,BOWIE H S,"c(-106.461792, 31.7642310000001)"
EL PASO,09-12,1040,High School,EL PASO ISD,49139,JEFFERSON H S,"c(-106.435206, 31.7700090000001)"
EL PASO,09-12,1687,High School,EL PASO ISD,49139,EL PASO H S,"c(-106.4894445, 31.7736090000001)"
EL PASO,09-12,3048,High School,EL PASO ISD,49139,FRANKLIN H S,"c(-106.557754541, 31.8595712960001)"
EL PASO,09-12,517,High School,EL PASO ISD,49139,SILVA HEALTH MAGNET,"c(-106.432902377, 31.7697057600001)"
EL PASO,09-12,1417,High School,EL PASO ISD,49139,BURGES H S,"c(-106.384617, 31.784679)"
EL PASO,06-12,450,Elementary/Secondary,EL PASO ISD,49139,YOUNG WOMEN'S STEAM RESEARCH & PREPARATORY ACADEMY,"c(-106.4701845, 31.782006)"
EL PASO,09-12,1815,High School,EL PASO ISD,49139,CHAPIN H S,"c(-106.444305983, 31.845153044)"
EL PASO,09-12,951,High School,EL PASO ISD,49139,IRVIN H S,"c(-106.4151045, 31.8789540000001)"
EL PASO,07-12,45,High School,EL PASO ISD,49139,TELLES ACADEMY,"c(-106.463607723, 31.785100174)"
EL PASO,06-08,400,Middle School,EL PASO ISD,49139,CANYON HILLS MIDDLE,"c(-106.44939, 31.8661920000001)"
EL PASO,03-12,47,Elementary/Secondary,EL PASO ISD,49139,DELTA ACADEMY,"c(-106.411309641, 31.7595387040001)"
EL PASO,06-12,148,Elementary/Secondary,EL PASO ISD,49139,COLLEGE CAREER TECHNOLOGY ACADEMY (CCTA),"c(-106.4631735, 31.785624)"
EL PASO,06-08,392,Middle School,EL PASO ISD,49139,CHARLES MIDDLE,"c(-106.429158, 31.9190310000001)"
EL PASO,06-08,548,Middle School,EL PASO ISD,49139,MAGOFFIN MIDDLE,"c(-106.4250585, 31.856796)"
EL PASO,06-08,504,Middle School,EL PASO ISD,49139,GUILLEN MIDDLE,"c(-106.4727765, 31.753458)"
EL PASO,06-08,753,Middle School,EL PASO ISD,49139,RICHARDSON MIDDLE,"c(-106.435611, 31.9413690000001)"
EL PASO,06-08,904,Middle School,EL PASO ISD,49139,WIGGS MIDDLE,"c(-106.483464796, 31.774919563)"
EL PASO,06-08,712,Middle School,EL PASO ISD,49139,BROWN MIDDLE,"c(-106.575349883, 31.8758727040001)"
EL PASO,09-12,350,High School,EL PASO ISD,49139,TRANSMOUNTAIN EARLY COLLEGE H S,"c(-106.359314635, 31.7617319730001)"
EL PASO,06-08,1388,Middle School,EL PASO ISD,49139,HORNEDO MIDDLE,"c(-106.5229605, 31.871088)"
EL PASO,06-08,819,Middle School,EL PASO ISD,49139,CPT GABRIEL NAVARRETE MIDDLE,"c(-106.452154184, 31.821592228)"
EL PASO,EE-05,312,Elementary School,EL PASO ISD,49139,AOY EL,"c(-106.481698711, 31.7519121080001)"
EL PASO,PK-05,394,Elementary School,EL PASO ISD,49139,COLDWELL EL,"c(-106.4426625, 31.7961540000001)"
EL PASO,EE-05,452,Elementary School,EL PASO ISD,49139,CROCKETT EL,"c(-106.4547495, 31.792626)"
EL PASO,PK-08,620,Elementary School,EL PASO ISD,49139,BOBBY JOE HILL PK-8,"c(-106.4290275, 31.9054320000001)"
EL PASO,EE-05,508,Elementary School,EL PASO ISD,49139,BLISS EL,"c(-106.4388465, 31.8155400000001)"
EL PASO,EE-05,382,Elementary School,EL PASO ISD,49139,COOLEY EL,"c(-106.4176875, 31.768488)"
EL PASO,EE-05,252,Elementary School,EL PASO ISD,49139,HAWKINS EL,"c(-106.419338319, 31.777698759)"
EL PASO,EE-05,398,Elementary School,EL PASO ISD,49139,HILLSIDE EL,"c(-106.436655, 31.7850930000001)"
EL PASO,EE-05,499,Elementary School,EL PASO ISD,49139,DOUGLASS EL,"c(-106.4655225, 31.7662110000001)"
EL PASO,PK-05,548,Elementary School,EL PASO ISD,49139,LOGAN EL,"c(-106.433165585, 31.841365167)"
EL PASO,EE-05,283,Elementary School,EL PASO ISD,49139,LAMAR EL,"c(-106.482654, 31.7757330000001)"
EL PASO,EE-05,335,Elementary School,EL PASO ISD,49139,HART EL,"c(-106.473857181, 31.7518251590001)"
EL PASO,PK-08,937,Elementary School,EL PASO ISD,49139,GENERAL DOUGLAS MACARTHUR PK-8,"c(-106.3779615, 31.7811330000001)"
EL PASO,PK-05,384,Elementary School,EL PASO ISD,49139,PARK EL,"c(-106.4506185, 31.857156)"
EL PASO,EE-05,273,Elementary School,EL PASO ISD,49139,PUTNAM EL,"c(-106.5388995, 31.83183)"
EL PASO,EE-05,221,Elementary School,EL PASO ISD,49139,RUSK EL,"c(-106.4545335, 31.8091590000001)"
EL PASO,EE-05,373,Elementary School,EL PASO ISD,49139,STANTON EL,"c(-106.413183, 31.86936)"
EL PASO,EE-05,266,Elementary School,EL PASO ISD,49139,NEWMAN EL,"c(-106.412979957, 31.9100127230001)"
EL PASO,EE-05,933,Elementary School,EL PASO ISD,49139,MESITA EL,"c(-106.503669, 31.783806)"
